total_calls,total_time,total_time/total_calls,primitive_calls,cumulative_time,cumulative_time/primitive_calls,filename:lineno(function)
3275,0.001,0.000,3275,0.002,0.000,__init__.py:2656(key)
951,0.001,0.000,951,0.038,0.000,polynomial.py:75(__add__)
1680,0.001,0.000,1680,0.002,0.000,genericpath.py:121(_splitext)
312,0.001,0.000,312,0.003,0.000,inspect.py:2279(_signature_from_function)
11442,0.001,0.000,11442,0.001,0.000,{method 'endswith' of 'str' objects}
278,0.001,0.000,278,0.021,0.000,<frozen importlib._bootstrap_external>:950(get_code)
556,0.001,0.000,556,0.003,0.000,<frozen importlib._bootstrap_external>:380(cache_from_source)
351,0.001,0.000,351,0.018,0.000,bn128_curve.py:83(add)
1205,0.001,0.000,1205,0.034,0.000,__init__.py:2218(_handle_ns)
5449,0.001,0.000,5449,0.002,0.000,sre_parse.py:165(__getitem__)
949,0.001,0.000,233,0.001,0.000,sre_parse.py:175(getwidth)
17,0.001,0.000,17,0.047,0.003,polynomial.py:95(__divmod__)
1680,0.001,0.000,1680,0.003,0.000,posixpath.py:117(splitext)
346,0.001,0.000,346,0.006,0.000,optimized_curve.py:151(twist)
45,0.001,0.000,45,1.942,0.043,__init__.py:1(<module>)
5560,0.001,0.000,5560,0.001,0.000,version.py:69(__lt__)
2340,0.001,0.000,2340,0.004,0.000,genericpath.py:39(isdir)
864,0.001,0.000,864,0.089,0.000,__init__.py:2065(find_on_path)
848,0.001,0.000,848,0.009,0.000,__init__.py:2085(<genexpr>)
350,0.001,0.000,3,1.108,0.369,<frozen importlib._bootstrap>:1022(_find_and_load)
635,0.001,0.000,635,0.002,0.000,<frozen importlib._bootstrap_external>:721(spec_from_file_location)
337,0.001,0.000,337,0.013,0.000,<frozen importlib._bootstrap_external>:1399(_get_spec)
14162,0.001,0.000,14162,0.001,0.000,{method 'append' of 'list' objects}
6753,0.001,0.000,6753,0.001,0.000,{method 'split' of 'str' objects}
715,0.001,0.000,715,0.002,0.000,<frozen importlib._bootstrap>:179(_get_module_lock)
715,0.001,0.000,715,0.001,0.000,<frozen importlib._bootstrap>:100(acquire)
3143,0.001,0.000,3143,0.002,0.000,field_elements.py:174(__neg__)
12579,0.001,0.000,12579,0.001,0.000,{built-in method posix.fspath}
329,0.001,0.000,329,0.004,0.000,<frozen importlib._bootstrap>:492(_init_module_attrs)
836,0.001,0.000,836,0.029,0.000,__init__.py:2060(<listcomp>)
928,0.001,0.000,928,0.013,0.000,__init__.py:1336(safe_version)
581,0.001,0.000,581,0.002,0.000,ntpath.py:87(isabs)
1954,0.001,0.000,1954,0.002,0.000,typing.py:986(__setattr__)
198,0.001,0.000,198,0.001,0.000,{method 'splitlines' of 'str' objects}
1050,0.001,0.000,1050,0.026,0.000,re.py:288(_compile)
4587,0.001,0.000,4587,0.005,0.000,field_elements.py:82(__rmul__)
11011,0.001,0.000,11011,0.001,0.000,{built-in method builtins.iter}
312,0.001,0.000,312,0.005,0.000,inspect.py:2374(_signature_from_callable)
36,0.001,0.000,36,0.002,0.000,util.py:182(_collapse_string_to_ranges)
715,0.001,0.000,715,0.001,0.000,<frozen importlib._bootstrap>:125(release)
764,0.001,0.000,4,0.028,0.007,optimized_curve.py:116(multiply)
329,0.001,0.000,4,1.107,0.277,<frozen importlib._bootstrap>:664(_load_unlocked)
754,0.001,0.000,754,0.010,0.000,__init__.py:2784(_get_metadata)
844,0.001,0.000,844,0.014,0.000,__init__.py:2584(__init__)
477,0.001,0.000,477,0.001,0.000,typing.py:146(_type_check)
836,0.001,0.000,836,0.032,0.000,__init__.py:2054(_by_version)
1258,0.001,0.000,1258,0.001,0.000,{method 'sub' of 're.Pattern' objects}
6010,0.001,0.000,6010,0.001,0.000,{method 'rfind' of 'str' objects}
6556,0.001,0.000,6556,0.001,0.000,{method 'lower' of 'str' objects}
344,0.001,0.000,3,1.108,0.369,<frozen importlib._bootstrap>:987(_find_and_load_unlocked)
323,0.001,0.000,79,0.016,0.000,sre_parse.py:436(_parse_sub)
360,0.001,0.000,360,0.001,0.000,functools.py:35(update_wrapper)
405,0.001,0.000,405,0.002,0.000,__init__.py:2886(insert_on)
405,0.001,0.000,405,0.034,0.000,__init__.py:2323(fixup_namespace_packages)
614,0.001,0.000,614,0.001,0.000,_inspect.py:65(getargs)
581,0.001,0.000,581,0.001,0.000,ntpath.py:150(splitdrive)
3158,0.001,0.000,3158,0.001,0.000,modp.py:40(__eq__)
764,0.001,0.000,4,0.055,0.014,bn128_curve.py:102(multiply)
325,0.001,0.000,325,0.001,0.000,core.py:455(__init__)
1489,0.001,0.000,1489,0.001,0.000,<frozen importlib._bootstrap>:357(__init__)
767,0.001,0.000,4,0.084,0.021,bls12_381_curve.py:104(multiply)
2843,0.001,0.000,2843,0.001,0.000,modp.py:37(__neg__)
405,0.001,0.000,405,0.001,0.000,__init__.py:2912(<listcomp>)
444,0.001,0.000,444,0.002,0.000,copy.py:66(copy)
